id,tema,escopo,pergunta,indicador,ano,universo,folga_10_11,top10
c0088,paises,mundo,Quais os países com mais leitos de hospital por habitante?,SH.MED.BEDS.ZS,2021,107,0.0206,"1. Coreia do Sul (12,8) | 2. Japão (12,6) | 3. Mongólia (10,6) | 4. Belarus (10,0) | 5. Bulgária (7,92) | 6. Alemanha (7,71) | 7. Romênia (7,16) | 8. Rússia (6,99) | 9. Áustria (6,91) | 10. Hungria (6,79)"
c0089,paises,mundo,Quais os países que mais bebem?,SH.ALC.PCAP.LI,2020,154,0.0182,"1. Romênia (16,8) | 2. Geórgia (14,4) | 3. Letônia (12,9) | 4. Lituânia (12,1) | 5. Tchéquia (12,0) | 6. Alemanha (11,8) | 7. Polônia (11,7) | 8. Belarus (11,6) | 9. Bulgária (11,6) | 10. Áustria (11,5)"
c0090,paises,mundo,Quais os países que menos bebem?,SH.ALC.PCAP.LI,2020,154,0.087,"1. Kuwait (0,00) | 2. Mauritânia (0,00) | 3. Arábia Saudita (0,00) | 4. Somália (0,00) | 5. Sudão (0,01) | 6. Afeganistão (0,01) | 7. Líbia (0,01) | 8. Iêmen (0,04) | 9. Indonésia (0,07) | 10. Paquistão (0,08)"
c0091,paises,Europa,Quais os países que mais bebem na Europa?,SH.ALC.PCAP.LI,2020,36,0.028,"1. Romênia (16,8) | 2. Letônia (12,9) | 3. Lituânia (12,1) | 4. Tchéquia (12,0) | 5. Alemanha (11,8) | 6. Polônia (11,7) | 7. Belarus (11,6) | 8. Bulgária (11,6) | 9. Áustria (11,5) | 10. Moldávia (11,1)"
c0092,paises,África,Quais os países que mais bebem na África?,SH.ALC.PCAP.LI,2020,49,0.0339,"1. Uganda (11,3) | 2. Burkina Faso (11,3) | 3. Tanzânia (10,9) | 4. Camarões (9,60) | 5. Benin (8,83) | 6. Gabão (8,14) | 7. Botsuana (7,27) | 8. África do Sul (7,13) | 9. Maurício (6,86) | 10. Essuatíni (6,79)"
c0093,paises,Ásia,Quais os países que mais bebem na Ásia?,SH.ALC.PCAP.LI,2020,42,0.0131,"1. Geórgia (14,4) | 2. Laos (10,8) | 3. Vietnã (8,04) | 4. Tailândia (7,99) | 5. Coreia do Sul (7,79) | 6. Mongólia (7,68) | 7. Camboja (6,67) | 8. Japão (6,38) | 9. Filipinas (5,66) | 10. China (4,58)"
c0094,paises,Américas,Quais os países que mais bebem nas Américas?,SH.ALC.PCAP.LI,2020,24,0.041,"1. Estados Unidos (9,90) | 2. Canadá (9,89) | 3. Argentina (8,05) | 4. Brasil (7,70) | 5. Chile (7,56) | 6. República Dominicana (6,50) | 7. Peru (6,45) | 8. Trindade e Tobago (6,03) | 9. Paraguai (5,62) | 10. Uruguai (5,61)"
c0095,paises,mundo,Quais os países com mais fumantes?,SH.PRV.SMOK,2024,140,0.0058,"1. Timor-Leste (48,8%) | 2. Líbano (46,9%) | 3. Mianmar (43,4%) | 4. Sérvia (39,7%) | 5. Macedônia do Norte (39,6%) | 6. Papua-Nova Guiné (39,3%) | 7. Bulgária (38,7%) | 8. Bósnia e Herzegovina (37,1%) | 9. Palestina (35,5%) | 10. Letônia (34,6%)"
c0096,paises,mundo,Quais os países com menos fumantes?,SH.PRV.SMOK,2024,140,0.1233,"1. Nigéria (3,1%) | 2. Gana (3,3%) | 3. Panamá (4,8%) | 4. Etiópia (5,2%) | 5. Libéria (5,2%) | 6. Senegal (5,4%) | 7. Turquemenistão (5,4%) | 8. Camarões (5,7%) | 9. Togo (5,8%) | 10. Paraguai (6,4%)"
c0097,paises,mundo,Quais os países com a maior taxa de suicídio?,SH.STA.SUIC.P5,2021,157,0.0076,"1. Lesoto (28,7) | 2. Coreia do Sul (27,5) | 3. Essuatíni (27,2) | 4. Uruguai (24,8) | 5. África do Sul (22,3) | 6. Lituânia (22,1) | 7. Rússia (21,4) | 8. Ucrânia (21,2) | 9. Eslovênia (18,9) | 10. Mongólia (18,5)"
